Ethnic_Code_Text,Sex_Code_Text,mean_decile_orig,count_orig,mean_decile_anon,count_anon,diff,count_retained_pct
African-American,Female,4.8,1722,4.79,1702.0,-0.01,98.8
African-American,Male,5.31,6390,5.3,6326.0,-0.01,99.0
Arabic,Female,2.0,1,,,,
Arabic,Male,3.92,24,,,,
Asian,Female,2.91,22,,,,
Asian,Male,2.54,95,,,,
Caucasian,Female,3.7,1703,3.7,1674.0,0.0,98.3
Caucasian,Male,3.47,5025,3.46,4959.0,-0.01,98.7
Hispanic,Female,3.3,548,3.47,408.0,0.17,74.5
Hispanic,Male,3.24,2173,3.27,2075.0,0.03,95.5
Native American,Female,5.89,19,,,,
Native American,Male,4.72,46,,,,
Other,Female,2.69,145,,,,
Other,Male,2.84,661,,,,
