language,count,%
english,55197,55.2
schinese,13981,13.98
russian,7917,7.92
german,3849,3.85
brazilian,2903,2.9
koreana,2570,2.57
spanish,2213,2.21
japanese,2107,2.11
french,2093,2.09
tchinese,1600,1.6
turkish,1432,1.43
polish,1068,1.07
italian,586,0.59
latam,539,0.54
czech,431,0.43
dutch,244,0.24
thai,232,0.23
ukrainian,198,0.2
swedish,158,0.16
portuguese,145,0.14
finnish,138,0.14
hungarian,113,0.11
danish,101,0.1
norwegian,52,0.05
greek,45,0.04
romanian,42,0.04
vietnamese,31,0.03
bulgarian,14,0.01
indonesian,1,0.0
