,nulls,%
Person_ID,0,0.0
AssessmentID,0,0.0
Case_ID,0,0.0
Agency_Text,0,0.0
LastName,0,0.0
FirstName,0,0.0
MiddleName,45219,74.32
Sex_Code_Text,0,0.0
Ethnic_Code_Text,0,0.0
DateOfBirth,0,0.0
ScaleSet_ID,0,0.0
ScaleSet,0,0.0
AssessmentReason,0,0.0
Language,0,0.0
LegalStatus,0,0.0
CustodyStatus,0,0.0
MaritalStatus,0,0.0
Screening_Date,0,0.0
RecSupervisionLevel,0,0.0
RecSupervisionLevelText,0,0.0
Scale_ID,0,0.0
DisplayText,0,0.0
RawScore,0,0.0
DecileScore,0,0.0
ScoreText,45,0.07
AssessmentType,0,0.0
IsCompleted,0,0.0
IsDeleted,0,0.0
